name,latitude,longitude
"Paris, FR",48.85,2.35
"Amsterdam, NL",52.38,4.9
"Moscow, RU",55.75,37.62
"Tsuen Wan, HK",22.37,114.11
"London, GB",51.51,-0.13
"Munich, DE",48.14,11.58
"Falkenstein, DE",50.48,12.37
"Dublin, IE",53.34,-6.27
"London, GB",51.51,-0.13
"Tirana, AL",41.33,19.82
"Ashburn, US",39.04,-77.49
"Singapore, SG",1.29,103.85
"Falkenstein, DE",50.48,12.37
"Sofia, BG",42.7,23.32
"Lille, FR",50.63,3.06
"Amsterdam, NL",52.37,4.89
"Frankfurt, DE",50.12,8.68
"Frankfurt, DE",50.12,8.68
"Falkenstein, DE",50.48,12.37
"Frankfurt, DE",50.12,8.68
"Paris, FR",48.92,2.38
"Paris, FR",48.85,2.35
"Johannesburg, ZA",-26.12,28.21
"Amsterdam, NL",52.37,4.89
"Singapore, SG",1.29,103.85
"Frankfurt, DE",50.12,8.68
"Frankfurt, DE",50.12,8.68
"Moscow, RU",55.75,37.62
"Falkenstein, DE",50.48,12.37
"Melbourne, AU",-37.81,144.96
"Graz, AT",47.07,15.44
"London, GB",51.44,0.15
"Frankfurt, DE",50.11,8.68
"San Jose, US",37.34,-121.89
"Riga, LV",56.95,24.11
"Bratislava, SK",48.15,17.11
"Saint Petersburg, RU",59.94,30.31
"Mataro, ES",41.61,2.54
"Amsterdam, NL",52.37,4.89
"Singapore, SG",1.29,103.85
"Riga, LV",56.95,24.11
"Sydney, AU",-33.87,151.21
"Turin, IT",45.07,7.69
"Sydney, AU",-33.87,151.21
"Athens, GR",37.98,23.73
"Vienna, AT",48.22,16.4
"Moscow, RU",55.75,37.62
"Eindhoven, NL",51.44,5.48
"London, GB",51.51,-0.13
"Dublin, IE",53.33,-6.25
"Amsterdam, NL",52.37,4.89
"San Jose, US",37.34,-121.89
"San Jose, US",37.34,-121.89
"Copenhagen, DK",55.68,12.57
"Singapore, SG",1.29,103.85
"San Jose, US",37.46,-122.2
"Seoul, KR",37.46,126.71
"Hong Kong, HK",22.28,114.17
"Hannover, DE",52.37,9.73
"Frankfurt, DE",50.12,8.68
"Chisinau, MD",47.01,28.86
"Chisinau, MD",47.01,28.86
"Berlin, DE",52.52,13.41
"Sydney, AU",-33.87,151.21
"Copenhagen, DK",55.68,12.57
"Moscow, RU",55.75,37.62
"Saint Petersburg, RU",59.94,30.31
"Buffalo, US",42.89,-78.88
"Miami, US",25.77,-80.19
"Terneuzen, NL",51.34,3.83
"Helsinki, FI",60.17,24.94
"Timisoara, RO",45.75,21.23
"Frankfurt, DE",50.12,8.68
"Los Angeles, US",34.05,-118.24
"New York, US",40.71,-74.01
"Chisinau, MD",47.01,28.86
"Amsterdam, NL",52.37,4.89
"Loenen aan de Vecht, NL",52.21,5.02
"Falkenstein, DE",50.48,12.37
"Geneva, CH",46.2,6.15
"Johannesburg, ZA",-26.2,28.04
"Philadelphia, US",40.14,-75.38
"Falkenstein, DE",50.48,12.37
"Ashburn, US",39.04,-77.49
"Taichung, TW",24.15,120.68
"Dusseldorf, DE",51.18,6.86
"Amsterdam, NL",52.37,4.89
"Falkenstein, DE",50.48,12.37
"San Jose, US",37.34,-121.89
"Warsaw, PL",52.23,21.01
"Chiba, JP",35.81,140.12
"New York, US",40.8,-74.01
"Stockholm, SE",59.33,18.07
"Taipei, TW",25.05,121.53
"Tokyo, JP",35.62,139.75
"Helsinki, FI",60.17,24.94
"San Jose, US",37.34,-121.89
"Charleston, US",32.85,-79.97
"Enschede, NL",52.22,6.9
"Tallinn, EE",59.44,24.75
"Sapporo, JP",43.07,141.35
