0,1424534404,0x6cc00e85eacfc56c,31929800,111
1,1424534409,0xf2e79b2ae42ea5b,833462272,658
2,1424534411,0x8b4c8304587a4ad5,1048576000,10070
3,1424534412,0x536cf07acc3eeb9d,9217283,98
4,1424534413,0xc48b2b9b7b00e2f3,649075360,1892
5,1424534416,0x17556c147ae3b92c,397660087,558
6,1424534417,0x9255304c567ec0e4,1073741824,95
7,1424534422,0x3a92444f02dafa91,524288000,3449
8,1424534425,0xc7de86af32dfda53,2940655616,86
9,1424534428,0x97473b30c8757156,549475964,215
10,1424534428,0xa97354816e64a47,162610,4
11,1424534438,0xbad72c022927920b,1366418714,1238
12,1424534442,0x617735fbe0775582,619606752,2184
13,1424534442,0xab005ba89a24d5b1,424401101,597
14,1424534443,0x8b2728da50f22f68,598215507,725
15,1424534447,0xfa9144d95be0e3ed,7349619,213
16,1424534454,0x831df93b3f8b8b18,3816388608,1361
17,1424534454,0x65befe33135f8555,1216731712,1648
18,1424534459,0xba15338d33844802,2097152000,5905
19,1424534461,0xc0e918de64ead1d6,1000598466,62
20,1424534465,0xf3779c5c30aefd7e,2778342875,7057
21,1424534466,0xee19445addc4a653,1584438965,3040
22,1424534469,0x7c3acf0ef3d9369f,26780470,161
23,1424534469,0xb4d6167d2a53f51c,617913,92
24,1424534476,0x615daa7a00ecbccb,789976383,201
25,1424534477,0xcc61e6db7ce23d08,1073741824,4615
26,1424534478,0xf280aef68f998402,667399771,10715
27,1424534479,0xbb1b3ea0991b9f6e,202179840,511
28,1424534481,0x67de6a3fc4eff0ba,159903303,173
29,1424534482,0xea9bcc4cbf4d648e,236093781,3657
30,1424534482,0x773cc0b48e04f16,2097152000,23131
31,1424534487,0xf2f89a4bede36769,115651268,16
32,1424534488,0x47069e599f1e2c34,1048576000,1275
33,1424534488,0xa8ce3fef800bd36b,128109518,16
34,1424534489,0xfc78692bb02f1b26,116871910,16
35,1424534490,0x5eb5cef980e0ea03,103017081,16
36,1424534490,0xed3f5cd73e4f7e5f,1048576000,478
37,1424534497,0xfaade5bc1f2173ef,521830613,1023
38,1424534498,0x7a55b66404ecac52,1780219393,98
39,1424534499,0xbf61c185e013ce58,2876727,158
40,1424534499,0x543b944247b946f0,3719681476,14
41,1424534500,0xd41065cc56cce402,1048576000,5183
42,1424534500,0xc56334db845b8596,1048576000,891
43,1424534503,0xa7dd9449838ef522,1073741824,455
44,1424534504,0x39d0c872a47f9510,1073741824,455
45,1424534505,0xea35450e9ee734c3,453295290,455
46,1424534505,0x31602c5b5848ce4,1048576000,10530
47,1424534507,0xdabcb8020029e379,216658472,1958
48,1424534509,0x2e7b6f1b2b297a55,1048576000,2421
49,1424534512,0x68acb1c8c150e9d5,1651679997,5393
50,1424534512,0x7579f0045920a75d,1164379249,100
51,1424534517,0x368afdc356a087b3,1073741824,9374
52,1424534518,0x6037d55e21192adc,1423597127,301
53,1424534525,0x99f684b3fc072d5c,2097152000,5966
54,1424534526,0x1970814b6d695615,158242163,344
55,1424534527,0x18378f1442e1c410,101850100,1262
56,1424534528,0x2ec38841df24a452,1073741824,29
57,1424534529,0x97f4dab56289f15e,1048576000,300
58,1424534529,0xf97ddc7bccaf9b2c,2044723200,8107
59,1424534532,0x1e16a2182a5316f3,981282198,72
60,1424534534,0x53e5945663ba2dbd,175053962,352
61,1424534539,0xe2e257a730079aaf,12621298,102
62,1424534540,0x988286b70381bee6,661426200,105
63,1424534541,0x76a685d077d65bbf,1073741824,3785
64,1424534542,0xba15338d33844802,2097152000,7904
65,1424534542,0xec54f7a6433ec906,1727739553,2645
66,1424534542,0x9c1cdc54649018f3,1073741824,9399
